model,target,task_type,feature_block,n_common,r2_oof,mae_oof,spearman_oof,auc_oof,log_loss_oof,balanced_accuracy_oof
llama,cumulative_kl_base_to_current,regression,A,64,0.1043470881770638,0.0417705026541014,0.5270604395604395,,,
llama,cumulative_kl_base_to_current,regression,C5,64,0.7198469998650567,0.0235388723207871,0.7709249084249084,,,
llama,cumulative_kl_base_to_current,regression,Pk5,64,-0.3489286355143952,0.0510407660810215,0.8031206179972964,,,
llama,cumulative_kl_base_to_current,regression,A+C5,64,0.7224694555463279,0.0235252667177039,0.8244047619047619,,,
llama,cumulative_kl_base_to_current,regression,Pk5+A,64,-0.2397480759316885,0.0472136120685792,0.9039377289377288,,,
llama,cumulative_kl_base_to_current,regression,Pk5+C5,64,0.4333655963557264,0.0375437761653813,0.8709706959706958,,,
llama,cumulative_kl_base_to_current,regression,Pk5+A+C5,64,0.343106845341429,0.0396136374783657,0.9012820512820512,,,
llama,absolute_delta_nll_cumulative,regression,A,64,0.1814103250232229,0.0786931594425765,0.4168498168498168,,,
llama,absolute_delta_nll_cumulative,regression,C5,64,0.7384771293014928,0.052258494535718,0.6663919413919414,,,
llama,absolute_delta_nll_cumulative,regression,Pk5,64,0.4362474392962345,0.0678500240955464,0.8200013803586744,,,
llama,absolute_delta_nll_cumulative,regression,A+C5,64,0.651459945334999,0.0583496485646322,0.7060897435897435,,,
llama,absolute_delta_nll_cumulative,regression,Pk5+A,64,0.5067117649150408,0.0623407467075495,0.915018315018315,,,
llama,absolute_delta_nll_cumulative,regression,Pk5+C5,64,0.7275701995965691,0.0475681969713049,0.8915750915750914,,,
llama,absolute_delta_nll_cumulative,regression,Pk5+A+C5,64,0.705520835193516,0.0515869481393819,0.9277472527472526,,,
llama,delta_nll_cumulative,regression,A,64,0.0216730456579165,0.0401330191192558,0.3660714285714285,,,
llama,delta_nll_cumulative,regression,C5,64,0.5406740926072509,0.0308748110157358,0.4554029304029303,,,
llama,delta_nll_cumulative,regression,Pk5,64,-0.3635498241585195,0.0483893037845304,0.4458723101972653,,,
llama,delta_nll_cumulative,regression,A+C5,64,0.3730747976290685,0.0340142939632998,0.5221153846153845,,,
llama,delta_nll_cumulative,regression,Pk5+A,64,-0.2839512796992063,0.0478177134406109,0.4869505494505494,,,
llama,delta_nll_cumulative,regression,Pk5+C5,64,-0.0076567612700937,0.043574311262759,0.4510073260073259,,,
llama,delta_nll_cumulative,regression,Pk5+A+C5,64,0.1536867610751214,0.0417512566528101,0.4781135531135531,,,
llama,is_opd,classification,A,64,,,,0.5559895833333334,0.5696647833512767,0.5104166666666667
llama,is_opd,classification,C5,64,,,,0.7434895833333334,0.4641903282869994,0.6875
llama,is_opd,classification,Pk5,64,,,,0.6875,0.6833267040422386,0.5
llama,is_opd,classification,A+C5,64,,,,0.7513020833333334,0.5716025708573629,0.71875
llama,is_opd,classification,Pk5+A,64,,,,0.671875,0.6865379896072492,0.5
llama,is_opd,classification,Pk5+C5,64,,,,0.7239583333333334,0.6057669123000481,0.5
llama,is_opd,classification,Pk5+A+C5,64,,,,0.7135416666666666,0.6401623104969412,0.5625
qwen,cumulative_kl_base_to_current,regression,A,64,-0.5747402211472061,0.0374502881484537,-0.019551282051282,,,
qwen,cumulative_kl_base_to_current,regression,C5,64,0.3440327872463127,0.024042564220155,0.470541100547089,,,
qwen,cumulative_kl_base_to_current,regression,Pk5,64,0.0524967848211954,0.0294130725385867,0.4882577026481164,,,
qwen,cumulative_kl_base_to_current,regression,A+C5,64,0.0752673789077501,0.0269482474906281,0.5581043956043955,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+A,64,-0.01772517003589,0.0320764597269496,0.4719322344322344,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+C5,64,-0.0025572300598728,0.0291892464355186,0.4688927300299191,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+A+C5,64,-0.172666497027268,0.0336531339909585,0.4521520146520146,,,
qwen,absolute_delta_nll_cumulative,regression,A,64,0.111649725252056,0.0633064902632419,0.4402014652014652,,,
qwen,absolute_delta_nll_cumulative,regression,C5,64,0.2472780640677733,0.0645387304028117,0.4276834671006748,,,
qwen,absolute_delta_nll_cumulative,regression,Pk5,64,0.2606874894179501,0.0634389557818404,0.7337627030777217,,,
qwen,absolute_delta_nll_cumulative,regression,A+C5,64,0.0331011505738666,0.0684771051877642,0.5537545787545787,,,
qwen,absolute_delta_nll_cumulative,regression,Pk5+A,64,0.200222799608757,0.0654045711297073,0.7174908424908424,,,
qwen,absolute_delta_nll_cumulative,regression,Pk5+C5,64,0.2988221432334714,0.0603881025703129,0.7905997092975537,,,
qwen,absolute_delta_nll_cumulative,regression,Pk5+A+C5,64,-0.0107541014866587,0.0672544648580945,0.6026556776556776,,,
qwen,delta_nll_cumulative,regression,A,64,-0.2841870602527394,0.0188162255984954,0.0029304029304029,,,
qwen,delta_nll_cumulative,regression,C5,64,0.278142581004044,0.0120348680220139,0.5716182648985412,,,
qwen,delta_nll_cumulative,regression,Pk5,64,-0.263814346244293,0.0184522916195375,-0.0528441256530092,,,
qwen,delta_nll_cumulative,regression,A+C5,64,0.3283957104182431,0.0118255580614723,0.6848443223443222,,,
qwen,delta_nll_cumulative,regression,Pk5+A,64,-0.2989001098150001,0.0191229181624456,-0.0017857142857142,,,
qwen,delta_nll_cumulative,regression,Pk5+C5,64,0.1827860668718914,0.0143033182238883,0.5494568390565919,,,
qwen,delta_nll_cumulative,regression,Pk5+A+C5,64,0.1497311745684824,0.0156456099807414,0.63507326007326,,,
qwen,is_opd,classification,A,64,,,,0.5950520833333334,0.5331264092802654,0.5416666666666667
qwen,is_opd,classification,C5,64,,,,0.7083333333333334,1.3049499005261531,0.5208333333333333
qwen,is_opd,classification,Pk5,64,,,,0.5208333333333334,1.037384278308506,0.5
qwen,is_opd,classification,A+C5,64,,,,0.7122395833333334,1.4139832878425636,0.5208333333333333
qwen,is_opd,classification,Pk5+A,64,,,,0.5520833333333334,0.9447066816830564,0.5104166666666667
qwen,is_opd,classification,Pk5+C5,64,,,,0.6666666666666666,1.3459584411035603,0.53125
qwen,is_opd,classification,Pk5+A+C5,64,,,,0.6809895833333334,1.394580139868504,0.53125
